content,name
First Layer Issues,Issue1
Print Not Sticking To The Bed,Issue2
Prints Sticking Too Much,Issue3
Warping,Issue4
Under Extrusion,Issue5
Over Extrusion,Issue6
Filament Not Feeding Properly,Issue7
Extruder Is Grinding Filament,Issue8
Extruder Is Crushing Filament,Issue9
Other Filament Issues,Issue10
Clogged Nozzle,Issue11
Other Blockages,Issue12
Stringing and Oozing,Issue13
Overheating,Issue14
Elephants Foot,Issue15
Walls Caving In,Issue16
Curling and Rough Corners,Issue17
Cracking or Layer Separation,Issue18
Layers Shifting & Misaligned Layers,Issue19
Layers Missing or Skipped Layers,Issue20
Weak or Under-Extruded Infill,Issue21
Deformed Infill,Issue22
Insufficient Retractions,Issue23
Blobs and 3D Printing Zits,Issue24
Infill Poking Through Outline,Issue25
Scratches on Top Layers,Issue26
Gaps & Holes,Issue27
Small Parts & Features Not Printing,Issue28
Lines On The Side Of Your Prints,Issue29
Temperature Variations,Issue30
Vibrations and 3D Printing Ringing,Issue31
Dimensional Accuracy Of Your Prints,Issue32
Circles Are Not Round,Issue33
Leaning Prints,Issue34
Poor Surface Quality Above Supports,Issue35
Failing Supports,Issue36
Poor Bridging,Issue37
Stringy & Droopy Overhangs,Issue38
Molten/Deformed Prints,Issue39
Burnt Stuff Dripping On Your Print,Issue40
Popping Noises Coming From Your Nozzle,Issue41
Steam/Smoke Coming Out Of Your Nozzle,Issue42
Clicking Motors,Issue43
I Cannot Print Model X,Issue44
