solution,product_component,
"3D printer pillowing occurs when trying to print a solid layer over a coarse infill grid. Depending on your infill percentage and your layer height, it may take a lot of layers to fully close the top surface over infill to produce a nice, smooth surface. Figure at least 1mm of combined layers for your top layer as a rule of thumb. So, if you’re printing with a layer height of 0.2mm use at least 5 top layers to play it safe. Other ways to reduce 3D printing pillowing are:

Print colder or increase fan speeds. Better cooling improves bridging performance, and that’s basically what we’re doing when printing over infill.
Use a higher infill percentage. More infill means smaller gaps, which are easier to cover.
Another possible cause for gaps in your top layer is under-extrusion . See [Under-extrusion].",extruder,
"Adjust idler pressure spring
Another reason why filament might not get transported properly if the idler isn’t exerting enough pressure to push the filament against the feeder gear. A lot of feeders have a spring that can be tensioned to increase the idler pressure. Or this spring might be missing, broken or collapsed.",idler pressure spring,
Adjust nozzle to bed distance either by loosening the 3 or 4 levelling screws of your printer and using thinner paper stock (receipt paper is good) for manual bed levelling or by adjusting your z-offset value when using a bed levelling sensor. Make sure you’re not pressing the bed upwards while levelling manually.,levelling screws,
Adjust nozzle to bed distance either by loosening the 3 or 4 levelling screws of your printer and using thinner paper stock (receipt paper is good) for manual bed levelling or by adjusting your z-offset value when using a bed levelling sensor. Make sure you’re not pressing the bed upwards while levelling manually.,3D printer version,
Adjust nozzle to bed distance either by tightening the 3 or 4 levelling screws of your printer and using thicker paper stock for manual bed levelling or by adjusting your z-offset value when using a bed levelling sensor. Make sure you’re not pressing down on your bed when levelling it.,levelling screws,
"Brittle filament, breaking or snapping may mean stale filament. There are also some of the more brittle formulas, especially for PLA or PMMA, which might snap when passing the drive gear or is bent for example in a Bowden tube at a higher angle.

A good test for the ‘freshness’ of PLA filament is to bend it to 90 degrees (at room temperature ~20°C) with your fingers. If it snaps, it is stale. Pull 10-15 meters off the reel and try again. You might be lucky - it may only be the top layers that have gone stale.
",PLA filament,
Calibrate your extruder and reduce your material flow. Especially when switching to smaller nozzle sizes your extrusion settings need to be spot on. The smaller diameter holes are way less forgiving as we’re facing higher pressure trying to extrude through a smaller hole to begin with. Too much pressure and the drive gear of the feeder motor is likely to start grinding instead of pushing the filament.,3D printer version,
Calibrate your extruder and reduce your material flow. Especially when switching to smaller nozzle sizes your extrusion settings need to be spot on. The smaller diameter holes are way less forgiving as we’re facing higher pressure trying to extrude through a smaller hole to begin with. Too much pressure and the drive gear of the feeder motor is likely to start grinding instead of pushing the filament.,nozzle,
"Change filament
Some filaments simply have less layer adhesion than others. If you’ve tried all the tips above you may need to seek better quality filament that has solid 3D printing layer adhesion.

rigid.ink Filament is guaranteed against this. If you're still experiencing this issue with rigid.ink, get in touch and we'll resolve or exchange it for you.",filament,
"Change filament
Some filaments simply have less layer adhesion than others. If you’ve tried all the tips above you may need to seek better quality filament that has solid 3D printing layer adhesion.

rigid.ink Filament is guaranteed against this. If you're still experiencing this issue with rigid.ink, get in touch and we'll resolve or exchange it for you.",spool,
"Change filament
Some filaments simply have less layer adhesion than others. If you’ve tried all the tips above you may need to seek better quality filament that has solid 3D printing layer adhesion.

rigid.ink Filament is guaranteed against this. If you're still experiencing this issue with rigid.ink, get in touch and we'll resolve or exchange it for you.",Mylar (metallic) resealable bags,
"Check / increase fans
Make sure your fans are working. You can try to switch to fans that are pushing more air or add more fans. Sometimes, using a desk fan as a workaround can help you until a more streamlined solution is found.",part cooling fan,
"Check axes, belt tension, pulleys and gears are tight, clean and in position.
Check different steps/mm in the slicer for on of the axes has not accidently been input incorrectly.
Be careful when entering new settings via the printer’s manual front-panel controls, we’ve all experienced ‘finger-trouble’ before and hit something on the controls we shouldn’t. Double check everything was input as it should’ve been.
Check the Z-scar to prevent blobs altering the shape. See [Blobs and 3D Printing Zits].",axes,
"Check axes, belt tension, pulleys and gears are tight, clean and in position.
Check different steps/mm in the slicer for on of the axes has not accidently been input incorrectly.
Be careful when entering new settings via the printer’s manual front-panel controls, we’ve all experienced ‘finger-trouble’ before and hit something on the controls we shouldn’t. Double check everything was input as it should’ve been.
Check the Z-scar to prevent blobs altering the shape. See [Blobs and 3D Printing Zits].",belt,
"Check axes, belt tension, pulleys and gears are tight, clean and in position.
Check different steps/mm in the slicer for on of the axes has not accidently been input incorrectly.
Be careful when entering new settings via the printer’s manual front-panel controls, we’ve all experienced ‘finger-trouble’ before and hit something on the controls we shouldn’t. Double check everything was input as it should’ve been.
Check the Z-scar to prevent blobs altering the shape. See [Blobs and 3D Printing Zits].",pulley,
"Check axes, belt tension, pulleys and gears are tight, clean and in position.
Check different steps/mm in the slicer for on of the axes has not accidently been input incorrectly.
Be careful when entering new settings via the printer’s manual front-panel controls, we’ve all experienced ‘finger-trouble’ before and hit something on the controls we shouldn’t. Double check everything was input as it should’ve been.
Check the Z-scar to prevent blobs altering the shape. See [Blobs and 3D Printing Zits].",gear,
"Check belts & pulleys
Loose belts or not properly tightened pulleys will cause layers to shift as the requirement amount of travel will not be achieved. So, check the belt(s) for the axis affected and if necessary tighten according to the specifications of your printer manufacturer. Also check if all pulleys are properly tightened to the motor shafts for the axis in question. Usually, NEMA motors have a flat side on the motor shaft, it is best to tighten your pulley against this flat side to ensure best grip.",belts,
"Check belts & pulleys
Loose belts or not properly tightened pulleys will cause layers to shift as the requirement amount of travel will not be achieved. So, check the belt(s) for the axis affected and if necessary tighten according to the specifications of your printer manufacturer. Also check if all pulleys are properly tightened to the motor shafts for the axis in question. Usually, NEMA motors have a flat side on the motor shaft, it is best to tighten your pulley against this flat side to ensure best grip.",pulley,
"Check belts & pulleys
Loose belts or not properly tightened pulleys will cause layers to shift as the requirement amount of travel will not be achieved. So, check the belt(s) for the axis affected and if necessary tighten according to the specifications of your printer manufacturer. Also check if all pulleys are properly tightened to the motor shafts for the axis in question. Usually, NEMA motors have a flat side on the motor shaft, it is best to tighten your pulley against this flat side to ensure best grip.",gear,
"Check extruder is clear
Remove the filament from the extruder. Could be a bit tricky. Check its shape. Chances are the feeder gear has eaten away a good part of the filament and dug itself in, i.e. no filament can be transported, as there is nothing left for the gear to grip. This is usually a consequence of a blockage that happened before. So, once you cleaned this feeder section of the extruder of any debris and fed fresh filament in, you’ll still have to find the cause for the blockage that was responsible for this in the first place.",extruder,
"Check feeder gear
While at it, check that the teeth of the feeder gear haven’t worn. A lot of these gears are made from brass and won’t last forever. Teeth might even be missing entirely.

Also, the teeth could be gunked up with debris stripped from the filament during normal operation and need to be cleaned - small brass wire brush is ideal for this - but PLEASE, for your own sanity, make sure that no pieces of the brush or debris get into the HotEnd or the path leading to it. Metal particles in a HotEnd and nozzle are not something you ever want to happen.",feeder gear,
