topic,solution
Warping,"See [Print not sticking to the bed].
Balance the printing and room/chamber temperature. Print a little cooler depending on the initial printing temperature. If you're starting at the lowest point in the suggested temperature range, you might want to increase the room temperature instead. The difference between printing temp and room temp shouldn't be too great or you'll experiencing warping.
To print cooler - start at your current nozzle temperature and work your nozzle temperature down in 5°C increments.
To increase chamber or ambient (room) air temperature - increase the room or chamber temperature in 5°C increments to reduce the difference in temperature and therefor the tendency to warp. See below for more information on heated enclosures.
Print thinner layers. For example starting at a typical 0.2mm layer height, try 0.15mm or even 0.1mm layer height. This will reduce stress on your part during printing.
Make sure you’re not setting your bed temperature close to the glass transition temperature of your filament (stay 10°C below). You can locate rigid.ink glass transition temperature in the downloadable datasheet for your material on the product page settings tab.
If you need more info on warping, causes and fixes, you can view our article on preventing warping here."
Inconsistent Extrusion: How To fix Over Extrusion,"Recalibrate the steps/mm value of your extruder to ensure your extruder delivers the proper amount of filament requested. Once the steps per mm are set correctly, the next step to a proper calibration is to set your extrusion multiplier (also called feed rate) properly to combat over extrusion 3D printing.

Both steps/mm as well as extrusion multipliers are filament dependent and might even change over time. Or it could simply be a matter of you changing the extrusion multiplier for a recent print and forgot to reset it in your slicer.

Temperature can play a factor in 3D printing over extrusion, so as always ensure you’re printing at the cooler end of the spectrum for your material."
Other Blockages,"Often, blockages occur right after the drive gear, especially when using flexible filaments. This can be common for some printers, so be sure to read up on if your printer is suitable to print flexible filaments. Modifications can also be printed for some extruders, files are available on websites like thingiverse.
Bowden tubes like to gather debris, increasing friction, causing blockages. Inspect, clean and replace as needed.
Another notorious spot is where the Bowden tube in Bowden extruders (or the PTFE liner tube in certain HotEnds) meets up with the metal bits. If the tip of the tube is frayed, dented, carbonised or cut at anything but a 90° angle, this is inviting trouble. Also make sure your tube is seated firmly as far in as possible. If the tube moves, for example during retractions, chances for a blockage increase.
Right around the heat break. Usually a sign of insufficient HotEnd cooling or too high of a retraction distance.Also read our chapter [Filament not feeding properly]"
Stringing and Oozing,"Increase retraction distance
Increase the retraction distance in your slicer. There’s usually a limit for how far up you can retract filament before you’re running into other issues, but as a general rule of thumb: up to 3mm is ok for most direct extruders, 4-6mm should be ok for long Bowden systems."
Stringing and Oozing,"Increase retraction speed
Increase the retraction speed. Maximum speed depends entirely on your extruder, so it is hard to come up with a valid recommendation, when in doubt try up to 40mm/s. Check with your printer manufacturer."
Stringing and Oozing,"Arrange prints closer
Long travel distances around the build plate tend to make your 3D print stringy, so if you can rearrange the objects to be closer on the bed, this could help against stringing 3D printing. This may not be an option for single item prints"
Stringing and Oozing,"Increase travel speed
Try increasing your travel speed in your slicer. Travel speed is the speed the speed the nozzle moved around the print bed. More speed means less time to ooze between layer points."
Stringing and Oozing,"Calibrate steps and multiplier
Whenever you encounter any sort of extrusion issues, make sure your basics are covered - properly calibrated extruder steps/mm and extrusion multiplier, both are key to nice prints. Over-extrusion encourages 3D print stringing. See [Over Extrusion]."
Stringing and Oozing,"Increase cooling
Increase cooling fans. Try increase in 20% increments, or try 100% when bridging or excessive stringing occurs.

In some instances 100% fans may not be enough. Some users fit additional cooling fans or even just put a desktop fan next to your printer to increase airflow."
Stringing and Oozing,"Print single objects
If printing multiple parts at once, try printing single objects instead of placing multiple objects on the build plate. This eliminates all travel moves between multiple objects and will cut down on 3D printing stringing & oozing between multiple prints."
Overheating,"Increase the part cooling fans. If you’re not using 100% part cooling fans you can try increasing up to 100% which should help. This may not be suitable for all filaments though so be sure to check the manufacturers recommendations.
Try printing colder to begin with. Sometimes you can get away with a cooler printing temperature for the rest of the print with the same result. Alternatively, reduce the temperature when the printer is approaching the problem area.
Print slower, giving the print more time to cool down. Consider the 15 second rule: the time for the nozzle coming back to the same point on your object should not be less than 15s.
If your slicer supports it, set a minimum time per layer to ensure proper cooling. This usually results in the slicer dynamically slowing down the print speed to ensure the minimum layer time, which, in this particular case, won’t help all that much.
Pro tip: you could add a pause to the layer change script and park the nozzle away from the object for a few seconds.
Workaround: try printing two copies of the object at the same time, the travel moves between the 2 objects will increase the layer time and allow for more cooling."
Elephants Foot,"Lower the bed temperature. Make sure you’re within the heated bed temperature range advertised by the manufacturer. The highest point in the range should never exceed 10°C below the glass transition temperature (rigid.ink Tg are available in the downloadable datasheets in the settings tab on product pages).
Increase the nozzle to bed distance slightly. If you’re already at the lower end of the heated bed temperature range, you can try increasing the nozzle to bed distance slightly."
Walls Caving In,"Lower the bed temperature. Make sure you’re within the heated bed temperature range advertised by the manufacturer. The highest point in the range should never exceed 10°C below the glass transition temperature (rigid.ink Tg are available in the downloadable datasheets in the settings tab on product pages).
Set your printing temperature lower. The cooler you can print, the quicker the printed filament will cool, preventing layer crushing and caving.
You can also try increasing the cooling fan speed if not already at 100%. Do check with the manufacturer this is suitable for the material you’re using."
Curling and Rough Corners,"Try printing cooler. Sometimes you can get away with a cooler printing temperature for the rest of the print with the same result. We always suggest printing at the lower end of the temperature range suggested by the manufacturer.
Print slower to give the printed line more time to cool before the next layer is put down.
You can also try increasing the cooling fan speed if not already at 100%. Do check with the manufacturer this is suitable for the material you’re using.
When printing in an enclosure: open all doors/panels to lower ambient temperature. This may not be suitable for all materials, check with the manufacturer/seller.
Workaround: Try a different layer height. In the classic benchy case, printing the benchy at a 0.2mm layer height usually makes the problem disappear while it is really apparent when printing the benchy with 0.1mm layers. In other cases, a lower layer height works better. Experimenting may be needed for your particular print so make one small change at a time and test.
Pro tip: Increase overall cooling capabilities by adding more external fans next to the printer or optimizing fan duct design."
Cracking or Layer Separation,"Lower layer height
You could be trying to print using a layer height that is too high for your nozzle. Maximum layer height should not exceed 75% of your nozzle size (i.e. 0.3mm for a 0.4mm nozzle)."
Cracking or Layer Separation,"Increase temperature
If you’re printing higher temperature materials (around 230°C or above), you may be printing too cold for that material. Increase your printing temperature in 5°C increment tests until the issue is resolved."
Cracking or Layer Separation,"Reduce cooling
Slow down or turn off your part cooling fan speed. Avoid sudden large increases in fan speed like when going into bridging mode. We want to avoid drastic temperature changes."
Cracking or Layer Separation,"Use an enclosure
Protect your print from drafts of cold air. If you’re not using a printer that is enclosed, build your own enclosure around it."
Cracking or Layer Separation,"Round the edges
If after these changes, you’re still getting 3D print problems with layers separating it may be worth reducing the stress on the corners of the print by rounding the model, reducing the stress on the edges. You’ll notice sharp corners (like in the image above) will crack first as the stress here is greater."
Cracking or Layer Separation,"Change filament
Some filaments simply have less layer adhesion than others. If you’ve tried all the tips above you may need to seek better quality filament that has solid 3D printing layer adhesion.

rigid.ink Filament is guaranteed against this. If you're still experiencing this issue with rigid.ink, get in touch and we'll resolve or exchange it for you."
Layers Shifting & Misaligned Layers,"Slow it down
Trying to print too fast will cause the motors to skip, resulting in 3D printing layer shifting. Try reducing your speed and running test prints.

Pro tip: check your jerk and acceleration settings as well."
Layers Shifting & Misaligned Layers,"If also warping or curling
If you’re also experiencing warping or curling, it could be that the HotEnd simply crashed into a section that has curled upwards. This picture however does not show any signs of warping or curling."
Layers Shifting & Misaligned Layers,"Check filament is free
A temporary problem with the filament not unspooling cleanly (a knot or tangles on the spool) might have blocked the movement of the (direct drive) extruder causing your 3D printer shifting layers. See our article [How to untangle a tangled or knotted spool]."
Layers Shifting & Misaligned Layers,"Printer lubrication
You’ve got mechanical friction on this axis (the X-axis in this picture). Check if your printer moves freely along this axis, clean and lubricate the mechanical parts like smooth rods, lead-screws or rails and check for broken bearings."
