content,name
Adjust nozzle to bed distance either by tightening the 3 or 4 levelling screws of your printer and using thicker paper stock for manual bed levelling or by adjusting your z-offset value when using a bed levelling sensor. Make sure you’re not pressing down on your bed when levelling it.,Solution1
Adjust nozzle to bed distance either by loosening the 3 or 4 levelling screws of your printer and using thinner paper stock (receipt paper is good) for manual bed levelling or by adjusting your z-offset value when using a bed levelling sensor. Make sure you’re not pressing the bed upwards while levelling manually.,Solution2
"On most printers, the print bed is levelled by adjusting 3 or 4 screws under the print bed. (If your printer is equipped with a bed levelling automatic, this step might not be necessary even though it won’t hurt to do it manually at least once initially). Levelling is actually not the correct term for what we’re doing, but that’s what everybody is calling it. What we’re doing is to make sure that the gap between the nozzle tip and the bed is the same all across the bed. Hence: bed and nozzle are “level” with each other.

In order to do so:

Heat up your bed and nozzle to proper printing temperature, retract filament a bit and make sure the nozzle is clean (and no filament is oozing out during the levelling process).
Move the heated nozzle to the first corner of the bed.
Slide a piece of paper between the bed and the nozzle. Loosen or tighten the bed level for that corner screw until you notice a bit of drag when sliding the paper under it.
Continue to the next corner, position your nozzle over it, adjust the screw so you get the same amount of drag.
Do so for at least all for corners, then check the middle of the bed.
This might require multiple passes, as turning one screw usually affects the other screws as well. At the same time while we’re levelling the bed, we’re also setting the nozzle to bed distance. By using thicker or thinner paper in this process you also set the nozzle to bed distance at the same time. The receipt paper from your last grocery store purchase for example sets the nozzle to bed distance that usually works quite well for PLA while thicker paper might work better for PETG.",Solution3
"Usually you can work around warped build plates by printing a very thick first layer (but do not exceed maximum layer height = 75% nozzle size. i.e. 0.3mm for a 0.4mm nozzle). If all else fails, try printing with a raft. Also, with a warped build plate, leveling your bed in such a way that your nozzle to bed distance fits in a smaller area will allow you to work reliably with at least part of a warped build plate.

Or in other words, when dealing with a warped bed do not try to level your bed at the 4 outermost corners, but pick a smaller area in the center of the build plate and try to level it as best as possible there. Idea behind this is, most of the prints seldom require the whole bed, so make a smaller area work well.",Solution4
"Degrease your bed surface regularly according to the manufacturer’s instructions. Use either isopropyl alcohol/isopropanol in a high concentration or pure acetone. Stay away from window cleaners, dish washing liquids and soaps, especially those who are supposed to be good for your skin, as most of them will leave a residue behind that will negatively affect bed adhesion.",Solution5
"Every proper slicer out there has the option to specify a different print speed for your first layer. In Cura, it is called “Initial Layer speed”. In Simplify3D it is called “First Layer Speed”. We're pretty sure your slicer has this setting as well, under some variation of those names. Usually a speed of 30mm/s or less is good for the first layer, you can increase the speed later on but experimenting is key.",Solution6
"Calibrate the extruder steps required to extrude the requested amount of filament.
Check your extrusion multiplier in your slicer software to ensure proper amount of filament is extruded.
Check that you selected the proper filament size (1.75mm/2.85mm/3.00mm) in your slicer.
Ensure filament can be transported properly (i.e. filament unspools freely from the spool, no excess friction in the filament path).
Ensure nozzle isn’t blocked or partially blocked. This is a very common cause of under-extrusion or uneven extrusion. See [Clogged Nozzle].",Solution7
"Almost all slicers out there will allow you to set a different print temperature for your first/initial layer. Use this feature to adjust bed adhesion without it affecting the rest of your print.

Printing colder will decrease adhesion. Printing hotter (to a point) will increase adhesion. But do not exceed the maximum recommended print temperature for the filament you’re using to avoid the filament deteriorating in the HotEnd, which might lead to clogs. Print as cool as possible while maintaining proper adhesion is best.",Solution8
"Look up the glass transition temperature of the material you’re printing. Ensure your bed temperature is at least around 10°C below the glass transition temperature. If your bed is far below the glass transition temperature and you’re having trouble with your print not sticking, increase your bed temperature in 5°C increments until the issue is resolved (staying below the GT temp).

For rigid.ink PLA for example, do not exceed 50°C. More is not better. If your bed is too hot, you will increase warping forces and the risk of prints warping or even detaching during the print is increased instead of prevented – and you’ll invite other problems later on in the prints, like Elephant foot or caved in walls.",Solution9
Disable the part cooling fan for the first layer.,Solution10
"When applying helpers to your bed, make sure you apply a thin and even coat. We do not want mountains of glue stick, nor thick patches of hairspray. Nice, thin and even is key. When applying tapes, do not let the edges overlap, apply the tape strips so they sit flush against the previous strip. And do make sure you’re not trapping air bubbles when applying your tape or surface.

There’s nothing worse than an uneven surface because of bubbles and with the cost of some of these surfaces, having to toss a brand-new surface because of bubbles underneath it can be quite annoying.

Please Note: Not all surfaces and coatings suit all materials so check with the manufacturer before making your choice.
",Solution11
"Check you're not printing too close to the glass transition temperature of the material (find rigid.ink GT temps in the datasheet download, in the settings tab on product pages).

Reduce the bed temperature in increments of 5°C until your print adheres correctly.

You may also want to consider printing the first layer faster and/or colder.",Solution12
Add a very thin layer of talcum or baby powder onto your bed. Ensure you remove any excess powder.,Solution13
"Use a thin, even layer of PVA glue stick or vinyl-based hairspray coating on the build plate to act as “release agent”.",Solution14
Slightly decrease the extrusion multiplier and perform a small test after each change until the adhesion is correct.,Solution15
Put the affixed print and bed into a freezer for a few hours. The print should then pop off with some light tapping once cool enough.,Solution16
"Make sure your filament can unspool freely from the reel.
Check the filament path for any blockages or areas of strong friction.
Verify the filament diameter is consistent. Especially very cheap filaments suffer from fluctuations in filament diameter. Too thin and there isn’t enough filament fed into the HotEnd, too thick and there might be too much friction to push through the extruder and the related filament path.
Check the extrusion settings in your slicer, namely filament diameter, extrusion multiplier.
Check proper print temperature and speed. Try printing hotter and slower.
Also see [filament not feeding properly].
If you printer is constantly under extruding, as in: it is not pushing enough plastic, it is best to recalibrate the steps/mm value of your extruder to ensure your extruder delivers the proper amount of filament requested. Once the steps per mm are set correctly, the next step to a proper calibration is to set your extrusion multiplier (also called feed rate) properly. Both steps/mm as well as extrusion multipliers are filament dependent and might even change over time.

Or it could simply be a matter of you having changed the extrusion multiplier for a recent print and forgot to reset it in your slicer. Also, very often the root cause for constant under-extrusion is a partially clogged nozzle. Cleaning out your nozzle would be a good start. Also check [filament not feeding properly].",Solution17
