content,name
Printed line is thinner than desired.,Phenonmenon1
Excess filament is squished upwards at the edges of the current printing line creating a rough surface and wavy patterns.,Phenonmenon2
Filament is getting torn off the bed when the next neighbouring line is printed.,Phenonmenon3
Finished prints are hard to remove from the print bed.,Phenonmenon4
"When looking at the bottom of your printed object, you can clearly make out individual lines with a noticeable gap between each line.",Phenonmenon5
"During printing the first layer, the individual lines are not touching each other.",Phenonmenon6
There’s small gaps where the lines of the infill are not touching the outlines of the wall.,Phenonmenon7
"The shape of the extruding line is very round. With the proper distance, extruded line is slightly squished, pancake shaped.",Phenonmenon8
Individual printed lines are barely sticking to the build plate.,Phenonmenon9
Parts are warping off the build plate or become loose during the prints.,Phenonmenon10
"Your print is lifting off the bed, such as warping, or returning to your printer with a birds nest.",Phenonmenon11
Nozzle too close to the bed,Phenonmenon12
Nozzle too far away from the print bed,Phenonmenon13
"The left side of your nozzle is too close and the right side it is fine or even too high up, your bed is most likely at an angle – not level with the nozzle. Same goes for front and back and of course this can happen in both axis at the same time.",Phenonmenon14
"The left side of your nozzle is too close and the right side it is fine or even too high up, your bed is most likely at an angle – not level with the nozzle. Same goes for front and back and of course this can happen in both axis at the same time.",Phenonmenon15
Printed line is thinner than desired.,Phenonmenon16
Excess filament is squished upwards at the edges of the current printing line creating a rough surface and wavy patterns.,Phenonmenon17
Filament is getting torn off the bed when the next neighbouring line is printed.,Phenonmenon18
Finished prints are hard to remove from the print bed.,Phenonmenon19
"When looking at the bottom of your printed object, you can clearly make out individual lines with a noticeable gap between each line.",Phenonmenon20
"During printing the first layer, the individual lines are not touching each other.",Phenonmenon21
There’s small gaps where the lines of the infill are not touching the outlines of the wall.,Phenonmenon22
"The shape of the extruding line is very round. With the proper distance, extruded line is slightly squished, pancake shaped.",Phenonmenon23
Individual printed lines are barely sticking to the build plate.,Phenonmenon24
Parts are warping off the build plate or become loose during the prints.,Phenonmenon25
"You see debris from a previous print, dust, gunk, spots, etc",Phenonmenon26
"You see lumps, build-up or an uneven coat of your favourite bed adhesive.",Phenonmenon27
You see some dents in the otherwise smooth bottom surface of a finished print.,Phenonmenon28
The extruder can’t keep up with pushing filament through at this speed and you see [Under Extrusion],Phenonmenon29
Under extrusion,Phenonmenon30
Over extrusion,Phenonmenon31
Infill leaving gaps,Phenonmenon32
walls turn out too thin,Phenonmenon33
layers not thick enough (not squished),Phenonmenon34
prints not sticking / warping,Phenonmenon35
rough corners,Phenonmenon36
curling or sloppy overhangs,Phenonmenon37
prints not sticking / warping,Phenonmenon38
Elephant foot,Phenonmenon39
curling close to the bed,Phenonmenon40
your part cooling fan is spinning while printing the first layer you need to look at your fan settings.,Phenonmenon41
