subject,relation,object
First Layer Issues,caused_by,Nozzle too close to the bed
First Layer Issues,caused_by,Nozzle too far away from the print bed
First Layer Issues,caused_by,Print Not Sticking
Nozzle too close to the bed,has_sign,Printed line is thinner than desired.
Nozzle too close to the bed,has_sign,Excess filament is squished upwards at the edges of the current printing line creating a rough surface and wavy patterns.
Nozzle too close to the bed,has_sign,Filament is getting torn off the bed when the next neighbouring line is printed.
Nozzle too close to the bed,has_sign,Finished prints are hard to remove from the print bed.
Nozzle too close to the bed,has_solution,Adjust nozzle to bed distance either by tightening the 3 or 4 levelling screws of your printer and using thicker paper stock for manual bed levelling or by adjusting your z-offset value when using a bed levelling sensor. Make sure you’re not pressing down on your bed when levelling it.
Nozzle too far away from the print bed,has_sign,"When looking at the bottom of your printed object, you can clearly make out individual lines with a noticeable gap between each line."
Nozzle too far away from the print bed,has_sign,"During printing the first layer, the individual lines are not touching each other."
Nozzle too far away from the print bed,has_sign,There’s small gaps where the lines of the infill are not touching the outlines of the wall.
Nozzle too far away from the print bed,has_sign,"The shape of the extruding line is very round. With the proper distance, extruded line is slightly squished, pancake shaped."
Nozzle too far away from the print bed,has_sign,Individual printed lines are barely sticking to the build plate.
Nozzle too far away from the print bed,has_sign,Parts are warping off the build plate or become loose during the prints.
Nozzle too far away from the print bed,has_solution,Adjust nozzle to bed distance either by loosening the 3 or 4 levelling screws of your printer and using thinner paper stock (receipt paper is good) for manual bed levelling or by adjusting your z-offset value when using a bed levelling sensor. Make sure you’re not pressing the bed upwards while levelling manually.
Print Not Sticking,has_sign,"Your print is lifting off the bed, such as warping, or returning to your printer with a birds nest."
Print Not Sticking To The Bed,caused_by,Platform not level
Print Not Sticking To The Bed,caused_by,Platform is warped
Print Not Sticking To The Bed,caused_by,Your bed is not clean
Print Not Sticking To The Bed,caused_by,Nozzle too close to the bed
Print Not Sticking To The Bed,caused_by,Nozzle too far away from the print bed
Print Not Sticking To The Bed,caused_by,Print First layer too fast
Print Not Sticking To The Bed,caused_by,Wrong extrusion settings
Print Not Sticking To The Bed,caused_by,Print temperature for first layer
Print Not Sticking To The Bed,caused_by,Bed temperature for first layer
Print Not Sticking To The Bed,caused_by,Part cooling fan settings
Platform not level,has_sign,Nozzle too close to the bed
Platform not level,has_sign,Nozzle too far away from the print bed
Nozzle too close to the bed,has_sign,"The left side of your nozzle is too close and the right side it is fine or even too high up, your bed is most likely at an angle – not level with the nozzle. Same goes for front and back and of course this can happen in both axis at the same time."
Nozzle too far away from the print bed,has_sign,"The left side of your nozzle is too close and the right side it is fine or even too high up, your bed is most likely at an angle – not level with the nozzle. Same goes for front and back and of course this can happen in both axis at the same time."
Platform not level,has_solution,"adjusting 3 or 4 screws under the print bed: In order to do so:

(1) Heat up your bed and nozzle to proper printing temperature, retract filament a bit and make sure the nozzle is clean (and no filament is oozing out during the levelling process).
(2) Move the heated nozzle to the first corner of the bed.
(3) Slide a piece of paper between the bed and the nozzle. Loosen or tighten the bed level for that corner screw until you notice a bit of drag when sliding the paper under it.
(4) Continue to the next corner, position your nozzle over it, adjust the screw so you get the same amount of drag.
(5) Do so for at least all for corners, then check the middle of the bed."
Platform is warped,has_sign,Printed line is thinner than desired.
Platform is warped,has_sign,Excess filament is squished upwards at the edges of the current printing line creating a rough surface and wavy patterns.
Platform is warped,has_sign,Filament is getting torn off the bed when the next neighbouring line is printed.
Platform is warped,has_sign,Finished prints are hard to remove from the print bed.
Platform is warped,has_sign,"When looking at the bottom of your printed object, you can clearly make out individual lines with a noticeable gap between each line."
Platform is warped,has_sign,"During printing the first layer, the individual lines are not touching each other."
Platform is warped,has_sign,There’s small gaps where the lines of the infill are not touching the outlines of the wall.
Platform is warped,has_sign,"The shape of the extruding line is very round. With the proper distance, extruded line is slightly squished, pancake shaped."
Platform is warped,has_sign,Individual printed lines are barely sticking to the build plate.
Platform is warped,has_sign,Parts are warping off the build plate or become loose during the prints.
Platform is warped,has_inspection_method,"use a steel ruler or a straight edge, put it onto your bed and look at the gap between the edge and the bed."
Platform is warped,has_inspection_method,"if you levelled the bed for all 4 corners, but the midpoint or some random points on the bed are off, then your bed is warped (or the axis bent)"
Platform is warped,has_solution,print a very thick first layer(but do not exceed maximum layer height = 75% nozzle size. i.e. 0.3mm for a 0.4mm nozzle)
Platform is warped,has_solution,try printing with a raft
Platform is warped,has_solution,pick a smaller area in the center of the build plate and try to level it as best as possible there
Your bed is not clean,has_sign,"You see debris from a previous print, dust, gunk, spots, etc"
Your bed is not clean,has_sign,"You see lumps, build-up or an uneven coat of your favourite bed adhesive."
Your bed is not clean,has_sign,You see some dents in the otherwise smooth bottom surface of a finished print.
Your bed is not clean,has_solution,"Degrease your bed surface regularly according to the manufacturer’s instructions. Use either isopropyl alcohol/isopropanol in a high concentration or pure acetone. Stay away from window cleaners, dish washing liquids and soaps, especially those who are supposed to be good for your skin, as most of them will leave a residue behind that will negatively affect bed adhesion."
Print First layer too fast,has_sign,The extruder can’t keep up with pushing filament through at this speed and you see [Under Extrusion]
Print First layer too fast,has_solution,"Every proper slicer out there has the option to specify a different print speed for your first layer. In Cura, it is called “Initial Layer speed”. In Simplify3D it is called “First Layer Speed”. We're pretty sure your slicer has this setting as well, under some variation of those names. Usually a speed of 30mm/s or less is good for the first layer, you can increase the speed later on but experimenting is key."
Wrong extrusion settings,has_sign,Under extrusion
Wrong extrusion settings,has_sign,Over extrusion
Wrong extrusion settings,has_sign,Infill leaving gaps
Wrong extrusion settings,has_sign,walls turn out too thin
Wrong extrusion settings,has_sign,layers not thick enough (not squished)
Wrong extrusion settings,has_solution,Calibrate the extruder steps required to extrude the requested amount of filament.
Wrong extrusion settings,has_solution,Check your extrusion multiplier in your slicer software to ensure proper amount of filament is extruded.
Wrong extrusion settings,has_solution,Check that you selected the proper filament size (1.75mm/2.85mm/3.00mm) in your slicer.
Wrong extrusion settings,has_solution,"Ensure filament can be transported properly (i.e. filament unspools freely from the spool, no excess friction in the filament path)."
Wrong extrusion settings,has_solution,Ensure nozzle isn’t blocked or partially blocked. This is a very common cause of under-extrusion or uneven extrusion. See [Clogged Nozzle].
Print temperature for first layer,has_sign,prints not sticking / warping
Print temperature for first layer,has_sign,rough corners
Print temperature for first layer,has_sign,curling or sloppy overhangs
Print temperature for first layer,has_solution,Almost all slicers out there will allow you to set a different print temperature for your first/initial layer. Use this feature to adjust bed adhesion without it affecting the rest of your print.
Bed temperature for first layer,has_sign,prints not sticking / warping
Bed temperature for first layer,has_sign,Elephant foot
Bed temperature for first layer,has_sign,curling close to the bed
